cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
1.0,-3.0,0.0585,0.0785,0.1108,0.159,0.2199
1.0,-2.0,0.1199,0.1625,0.23,0.3294,0.4541
1.0,-1.5,0.1926,0.2609,0.3701,0.5317,0.7343
1.0,-1.25,0.254,0.3438,0.4897,0.704,0.9735
1.0,-1.0,0.3445,0.4678,0.6675,0.9628,1.3342
1.0,-0.75,0.4804,0.6539,0.937,1.3586,1.8907
1.0,-0.5,0.6825,0.9327,1.3428,1.959,2.7452
1.0,-0.25,0.9764,1.3369,1.9302,2.8294,3.9916
1.0,-0.0,1.4167,1.938,2.7979,4.1041,5.7963
1.0,0.25,2.1245,2.9027,4.1836,6.1222,8.6196
1.0,0.5,2.1059,2.8369,4.0156,5.7503,7.9301
1.0,0.75,1.1468,1.5418,2.1787,3.1221,4.328
1.0,1.0,0.6518,0.876,1.2383,1.7757,2.4645
1.0,1.25,0.4156,0.5584,0.7896,1.1322,1.5714
1.0,1.5,0.2874,0.3861,0.5454,0.7827,1.0859
1.0,2.0,0.1601,0.2153,0.3042,0.4361,0.6046
1.0,3.0,0.07,0.0943,0.1333,0.191,0.2642
