cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
1.0,-3.0,0.1963,0.2666,0.3828,0.5594,0.7912
1.0,-2.0,0.2924,0.3976,0.5708,0.835,1.1794
1.0,-1.5,0.3838,0.5228,0.7515,1.0993,1.5538
1.0,-1.25,0.4537,0.6183,0.8892,1.3021,1.8407
1.0,-1.0,0.5491,0.7481,1.0771,1.579,2.2334
1.0,-0.75,0.6869,0.9376,1.3501,1.9804,2.8032
1.0,-0.5,0.8945,1.2207,1.7598,2.5822,3.6571
1.0,-0.25,1.2117,1.6535,2.3838,3.4991,4.9546
1.0,-0.0,1.7364,2.3695,3.416,5.0108,7.0954
1.0,0.25,2.7251,3.7129,5.3457,7.8361,11.0797
1.0,0.5,4.5475,6.1895,8.8867,12.9825,18.3095
1.0,0.75,7.5533,10.2382,14.6211,21.2141,29.7385
1.0,1.0,9.403,12.6976,18.0312,25.9463,36.0303
1.0,1.25,7.379,9.9626,14.1367,20.307,28.1146
1.0,1.5,4.7529,6.4313,9.1484,13.1871,18.3097
1.0,2.0,2.1108,2.8611,4.0859,5.9243,8.2794
1.0,3.0,0.7501,1.0182,1.4575,2.1227,2.9876
