MH	BB		TAUTAU		MUMU		SS		CC		TT		GG		GAMGAM		ZGAM		WW		ZZ		WIDTH			W_BB 		W_TAUTAU	W_MUMU		W_SS		W_CC		W_TT		W_GG		W_GAMGAM	W_ZGAM		W_WW		W_ZZ
160.0	3.454E-02	3.962E-03	1.374E-05	1.473E-05	1.741E-03	0.000E+00	8.638E-03	5.318E-04	1.152E-03	9.080E-01	4.146E-02	8.306E-02		2.869E-03	3.290E-04	1.141E-06	1.224E-06	1.446E-04	0.000E+00	7.174E-04	4.417E-05	9.566E-05	7.541E-02	3.443E-03
165.0	1.194E-02	1.377E-03	4.776E-06	5.092E-06	6.016E-04	0.000E+00	3.142E-03	2.297E-04	5.445E-04	9.600E-01	2.220E-02	2.464E-01		2.941E-03	3.392E-04	1.177E-06	1.255E-06	1.482E-04	0.000E+00	7.741E-04	5.660E-05	1.342E-04	2.365E-01	5.469E-03
170.0	7.931E-03	9.195E-04	3.188E-06	3.382E-06	3.995E-04	0.000E+00	2.204E-03	1.580E-04	3.995E-04	9.644E-01	2.363E-02	3.802E-01		3.015E-03	3.496E-04	1.212E-06	1.286E-06	1.519E-04	0.000E+00	8.380E-04	6.007E-05	1.519E-04	3.667E-01	8.983E-03
175.0	6.166E-03	7.188E-04	2.493E-06	2.629E-06	3.106E-04	0.000E+00	1.814E-03	1.265E-04	3.382E-04	9.582E-01	3.231E-02	5.007E-01		3.087E-03	3.599E-04	1.248E-06	1.316E-06	1.555E-04	0.000E+00	9.081E-04	6.334E-05	1.693E-04	4.797E-01	1.617E-02
180.0	5.005E-03	5.867E-04	2.034E-06	2.134E-06	2.521E-04	0.000E+00	1.556E-03	1.053E-04	2.955E-04	9.320E-01	6.021E-02	6.309E-01		3.158E-03	3.702E-04	1.283E-06	1.346E-06	1.590E-04	0.000E+00	9.818E-04	6.647E-05	1.865E-04	5.880E-01	3.799E-02
185.0	3.879E-03	4.571E-04	1.585E-06	1.654E-06	1.954E-04	0.000E+00	1.271E-03	8.427E-05	2.443E-04	8.437E-01	1.502E-01	8.322E-01		3.228E-03	3.804E-04	1.319E-06	1.377E-06	1.626E-04	0.000E+00	1.058E-03	7.014E-05	2.033E-04	7.021E-01	1.250E-01
190.0	3.171E-03	3.755E-04	1.302E-06	1.352E-06	1.596E-04	0.000E+00	1.094E-03	7.048E-05	2.111E-04	7.855E-01	2.094E-01	1.040E+00		3.299E-03	3.906E-04	1.354E-06	1.406E-06	1.660E-04	0.000E+00	1.139E-03	7.333E-05	2.196E-04	8.172E-01	2.179E-01
195.0	2.726E-03	3.244E-04	1.125E-06	1.162E-06	1.372E-04	0.000E+00	9.939E-04	6.166E-05	1.906E-04	7.570E-01	2.385E-01	1.236E+00		3.370E-03	4.010E-04	1.391E-06	1.437E-06	1.696E-04	0.000E+00	1.229E-03	7.622E-05	2.357E-04	9.359E-01	2.949E-01
200.0	2.401E-03	2.871E-04	9.955E-07	1.023E-06	1.209E-04	0.000E+00	9.256E-04	5.508E-05	1.754E-04	7.406E-01	2.555E-01	1.433E+00		3.440E-03	4.114E-04	1.426E-06	1.467E-06	1.732E-04	0.000E+00	1.326E-03	7.893E-05	2.513E-04	1.061E+00	3.661E-01
210.0	1.938E-03	2.339E-04	8.109E-07	8.256E-07	9.751E-05	0.000E+00	8.356E-04	4.543E-05	1.523E-04	7.228E-01	2.739E-01	1.847E+00		3.579E-03	4.319E-04	1.498E-06	1.525E-06	1.801E-04	0.000E+00	1.543E-03	8.390E-05	2.813E-04	1.335E+00	5.059E-01
220.0	1.612E-03	1.963E-04	6.805E-07	6.869E-07	8.111E-05	0.000E+00	7.768E-04	3.837E-05	1.343E-04	7.136E-01	2.835E-01	2.305E+00		3.715E-03	4.526E-04	1.569E-06	1.584E-06	1.870E-04	0.000E+00	1.791E-03	8.844E-05	3.096E-04	1.645E+00	6.536E-01
230.0	1.367E-03	1.679E-04	5.820E-07	5.825E-07	6.879E-05	0.000E+00	7.354E-04	3.284E-05	1.193E-04	7.081E-01	2.895E-01	2.819E+00		3.854E-03	4.733E-04	1.641E-06	1.642E-06	1.939E-04	0.000E+00	2.073E-03	9.258E-05	3.363E-04	1.996E+00	8.160E-01
240.0	1.175E-03	1.455E-04	5.044E-07	5.009E-07	5.913E-05	0.000E+00	7.049E-04	2.838E-05	1.065E-04	7.042E-01	2.936E-01	3.395E+00		3.990E-03	4.939E-04	1.712E-06	1.701E-06	2.008E-04	0.000E+00	2.393E-03	9.636E-05	3.617E-04	2.391E+00	9.969E-01
250.0	1.022E-03	1.274E-04	4.415E-07	4.351E-07	5.139E-05	0.000E+00	6.820E-04	2.470E-05	9.536E-05	7.012E-01	2.968E-01	4.040E+00		4.128E-03	5.148E-04	1.784E-06	1.758E-06	2.076E-04	0.000E+00	2.756E-03	9.980E-05	3.853E-04	2.833E+00	1.199E+00
260.0	8.960E-04	1.125E-04	3.900E-07	3.817E-07	4.506E-05	5.149E-08	6.659E-04	2.164E-05	8.567E-05	6.988E-01	2.994E-01	4.758E+00		4.263E-03	5.351E-04	1.856E-06	1.816E-06	2.144E-04	2.450E-07	3.168E-03	1.030E-04	4.076E-04	3.325E+00	1.424E+00
270.0	7.921E-04	1.002E-04	3.472E-07	3.374E-07	3.983E-05	2.289E-06	6.552E-04	1.907E-05	7.721E-05	6.967E-01	3.016E-01	5.552E+00		4.398E-03	5.561E-04	1.928E-06	1.874E-06	2.212E-04	1.271E-05	3.638E-03	1.059E-04	4.287E-04	3.868E+00	1.675E+00
280.0	7.052E-04	8.974E-05	3.111E-07	3.004E-07	3.545E-05	1.089E-05	6.497E-04	1.689E-05	6.976E-05	6.948E-01	3.036E-01	6.427E+00		4.533E-03	5.768E-04	2.000E-06	1.931E-06	2.279E-04	7.000E-05	4.176E-03	1.086E-04	4.484E-04	4.466E+00	1.951E+00
290.0	6.319E-04	8.091E-05	2.804E-07	2.691E-07	3.177E-05	3.062E-05	6.489E-04	1.504E-05	6.323E-05	6.932E-01	3.053E-01	7.386E+00		4.667E-03	5.976E-04	2.071E-06	1.988E-06	2.346E-04	2.262E-04	4.793E-03	1.110E-04	4.670E-04	5.120E+00	2.255E+00
300.0	5.694E-04	7.335E-05	2.542E-07	2.424E-07	2.862E-05	6.867E-05	6.534E-04	1.344E-05	5.747E-05	6.917E-01	3.068E-01	8.431E+00		4.800E-03	6.185E-04	2.144E-06	2.044E-06	2.413E-04	5.790E-04	5.509E-03	1.133E-04	4.845E-04	5.832E+00	2.587E+00
