cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
0.5,-3.0,0.2599,0.3534,0.5068,0.7407,1.0467
0.5,-2.0,0.4284,0.5826,0.8364,1.2228,1.7264
0.5,-1.5,0.6148,0.8367,1.2026,1.7593,2.4849
0.5,-1.25,0.7739,1.0546,1.5166,2.2201,3.1368
0.5,-1.0,1.0081,1.3735,1.9775,2.8968,4.0945
0.5,-0.75,1.4022,1.9138,2.7559,4.0411,5.717
0.5,-0.5,2.0967,2.8613,4.125,6.0508,8.568
0.5,-0.25,3.512,4.7952,6.916,10.1518,14.3747
0.5,-0.0,6.9951,9.5458,13.7617,20.1866,28.5949
0.5,0.25,17.9981,24.4886,35.1719,51.3821,72.5195
0.5,0.5,36.0953,48.7669,69.2812,99.7277,138.4073
0.5,0.75,17.2663,23.3676,33.2656,47.9675,66.5367
0.5,1.0,7.1998,9.7742,13.9766,20.265,28.2994
0.5,1.25,3.7698,5.1196,7.332,10.6601,14.9382
0.5,1.5,2.3236,3.1571,4.5234,6.5857,9.2427
0.5,2.0,1.1648,1.5826,2.2676,3.3048,4.6495
0.5,3.0,0.5079,0.6896,0.9888,1.4425,2.0344
