cv,cf,twosigdown,onesigdown,exp,onesigup,twosigup
1.5,-3.0,0.18,0.2452,0.353,0.518,0.7342
1.5,-2.0,0.2413,0.3298,0.4761,0.699,0.9918
1.5,-1.5,0.2955,0.4037,0.5835,0.8582,1.2183
1.5,-1.25,0.3344,0.4574,0.6616,0.9738,1.3839
1.5,-1.0,0.383,0.5245,0.7593,1.1191,1.5908
1.5,-0.75,0.4516,0.619,0.897,1.3229,1.8819
1.5,-0.5,0.5449,0.7474,1.0835,1.5991,2.2755
1.5,-0.25,0.679,0.9313,1.3501,1.9932,2.8379
1.5,-0.0,0.8698,1.193,1.7295,2.5524,3.6322
1.5,0.25,1.1545,1.5818,2.291,3.3766,4.8017
1.5,0.5,1.6035,2.1932,3.1699,4.6625,6.6187
1.5,0.75,2.2955,3.132,4.5117,6.6113,9.3532
1.5,1.0,3.3045,4.4946,6.4453,9.3966,13.2276
1.5,1.25,4.4095,5.9749,8.5195,12.3399,17.2618
1.5,1.5,4.9495,6.6892,9.5,13.6891,19.0399
1.5,2.0,3.569,4.8285,6.8633,9.8897,13.7447
1.5,3.0,1.304,1.7721,2.5361,3.6873,5.1769
